Date,Open,High,Low,Close
"2017-10-28 00:00:00",5767.68,5875.9,5667.35,5732.82
"2017-10-29 00:00:00",5732.82,6306.58,5690.11,6140.53
"2017-10-30 00:00:00",6140.53,6218.49,6026.69,6121.8
"2017-10-31 00:00:00",6121.8,6458.27,6089.47,6447.67
"2017-11-01 00:00:00",6447.67,6750.17,6357.91,6750.17
"2017-11-02 00:00:00",6750.17,7355.35,6745.96,7030
"2017-11-03 00:00:00",7030,7454.04,6942.29,7161.45
"2017-11-04 00:00:00",7161.45,7503.72,6994.88,7387
"2017-11-05 00:00:00",7387,7601.53,7297.58,7382.45
"2017-11-06 00:00:00",7382.45,7423.06,6932.43,6958.21
"2017-11-07 00:00:00",6958.21,7221.54,6958.21,7118.8
"2017-11-08 00:00:00",7118.8,7879.06,7078.96,7458.79
"2017-11-09 00:00:00",7458.79,7471.88,7058.35,7146.78
"2017-11-10 00:00:00",7146.78,7330.06,6422.97,6570.31
"2017-11-11 00:00:00",6570.31,6827.72,6198.56,6337
"2017-11-12 00:00:00",6337,6466.46,5507.29,5857.32
"2017-11-13 00:00:00",5857.32,6766.81,5823.86,6517.68
"2017-11-14 00:00:00",6517.68,6727.76,6442.4,6598.77
"2017-11-15 00:00:00",6598.77,7336.8,6598.77,7279
"2017-11-16 00:00:00",7279,7983.72,7122.46,7843.94
"2017-11-17 00:00:00",7843.94,7998.4,7541.04,7689.91
"2017-11-18 00:00:00",7689.91,7848.94,7460.11,7776.94
"2017-11-19 00:00:00",7776.94,8101.91,7678.37,8033.94
"2017-11-20 00:00:00",8033.94,8286.17,7940.87,8238.2
"2017-11-21 00:00:00",8238.2,8362.3,7818.5,8095.59
"2017-11-22 00:00:00",8095.59,8294.49,8074.53,8230.69
"2017-11-23 00:00:00",8230.69,8268.32,8002.64,8002.64
"2017-11-24 00:00:00",8002.64,8333.17,7892.68,8201.46
"2017-11-25 00:00:00",8201.46,8773.9,8156.75,8763.78
"2017-11-26 00:00:00",8763.78,9484.91,8757.36,9326.59
"2017-11-27 00:00:00",9326.59,9739.05,9326.59,9739.05
"2017-11-28 00:00:00",9739.05,9969.12,9645.88,9908.23
"2017-11-29 00:00:00",9908.23,11377.33,9290.3,9816.35
"2017-11-30 00:00:00",9816.35,10681.85,9021.85,9916.54
"2017-12-01 00:00:00",9916.54,10934,9421.46,10859.56
"2017-12-02 00:00:00",10859.56,11156.14,10705.13,10895.01
"2017-12-03 00:00:00",10895.01,11831.51,10495.56,11180.89
"2017-12-04 00:00:00",11180.89,11616.85,10875.71,11616.85
"2017-12-05 00:00:00",11616.85,11860.24,11473.51,11696.06
"2017-12-06 00:00:00",11696.06,13810.72,11671.57,13708.99
"2017-12-07 00:00:00",13708.99,17364.56,13336.4,16858.02
"2017-12-08 00:00:00",16858.02,17153.94,13963.53,16057.14
"2017-12-09 00:00:00",16057.14,16291.68,13314.56,14913.4
"2017-12-10 00:00:00",14913.4,15740.25,13152.53,15036.96
"2017-12-11 00:00:00",15036.96,17383.46,15036.96,16699.68
"2017-12-12 00:00:00",16699.68,17631.42,16259.28,17178.1
"2017-12-13 00:00:00",17178.1,17384.56,15799.87,16407.2
"2017-12-14 00:00:00",16407.2,17023.04,16123.12,16531.08
"2017-12-15 00:00:00",16531.08,17872.55,16522.02,17601.94
